Hash	Files	Lines Added	Lines Removed	Bugs Induced	Bugs Contributed	Bugs Fixed	Positive Sentiment	Negative Sentiment	Code Score
70f863d1e2a06eaa69c30078008ee1c6751f2726	0	0	0	4	1	0	0	0	-3.844
fa1c03b0d8b56702ca3aafcaa0c3defe8dae5250	2	34	3	6	0	1	1	-1	-3.716
aeb6ad951ee0305e390752eff4a36609b0dcee29	3	59	0	6	0	1	1	-1	-3.716
6badbb3227701f93aeebf208cc47f8b1540617da	9	100	2	4	2	0	1	-1	-3.544
69773dc9f785b12f033ba268fb4e4107fc3e7f46	2	1572	1	4	2	0	1	-1	-3.544
8434afc25036dc9105ac67dcb486181716fca7a8	1	75	0	4	2	0	1	-1	-3.544
fa3a50b96fa414e443ef420dfd813ba85b131aa2	10	113	41	4	2	0	1	-2	-3.544
691e4994f24602f5901e6f12d0b75a960c3cc88d	0	0	0	4	2	0	0	0	-3.544
6b7b5a5f2b34cebeb423e04f6dd2c9782c2c625c	0	0	0	4	3	0	0	0	-3.244
9272e67d797f9aa226d7b8af5db5ccf124b8ad2d	3	77	19	3	0	0	1	-1	-3.108
f8daafd0327081186c06555f225e84c420261b4c	4	120	3	3	0	0	1	-1	-3.108
2edf32221f13e36c2c5c44c9f91a068966b59218	3	44	3	3	0	0	1	-3	-3.108
8e6a3f7f03c8cdd93f1fb352088bac9cd2676c49	7	52	3	3	0	0	1	-1	-3.108
5457d1e8c34fe08585231ddab71067a7fd441146	2	167	0	3	0	0	1	-1	-3.108
1580490220172d4d3230abc7d6c593132dc540de	6	424	2	3	0	0	1	-1	-3.108
68612c4a5f81b0c508173787bb37156460d6e641	1	733	0	3	0	0	1	-1	-3.108
629be4ab30d0d046d6839c07ba5de1b31d8e1feb	10	397	1	3	0	0	1	-1	-3.108
7d2a3b3f9c96f3ab950d84781da5cf903ca4c4be	9	334	0	3	0	0	1	-1	-3.108
1cb69f8cc0478bcacede2dc827c62cfcb69b31b8	6	120	123	3	0	0	1	-1	-3.108
8dbee7b949ab636f91dcc78847fdab7c58ad1bf3	1	227	0	3	0	0	1	-1	-3.108
bc69f8c11f4bce0bd3c56546cd912e81081c5d51	2	154	2	3	0	0	1	-1	-3.108
d0012ea8d76c433fd327319e26547f7d4c02957e	2	78	2	3	0	0	1	-1	-3.108
cb8e9ec5e96eb6b2903f47917240c8b123e6c197	21	460	27	3	0	0	1	-1	-3.108
d563062747618ae68644c8984ed43f6447c5e685	4	212	30	3	0	0	1	-1	-3.108
3f41d563b2d619d892e483055cc3d8f511d11dc1	5	234	3	3	0	0	1	-1	-3.108
6d44f7e080aed5c4a59f201e1968f97d679e47e2	5	163	1	3	0	0	1	-1	-3.108
24d0cf90ab82f89aadd2b54c84c7fcab093b0d37	13	1244	9	3	0	0	2	-2	-3.108
5833c2eea5499bd64a37358ef56cf04df1962b05	1	34	7	3	0	0	1	-1	-3.108
cbe5b66b91061b47f6dcdba8b45201e3a6903eb3	4	10	6	3	0	0	1	-1	-3.108
21c3049958f5545648ac3169e613849d023acd80	3	23	4	3	0	0	1	-1	-3.108
3803604199c30a8f4af56686d0d7fd63552a36a1	4	116	0	3	0	0	1	-1	-3.108
89238bb50289e16194c6492dd6153ede4f0282e3	8	223	20	3	0	0	1	-1	-3.108
4718ed5271d5a21a666423c563c1364b45ffd8ed	6	198	8	3	0	0	1	-1	-3.108
bd815e948a4958a4c5b25437322fc7a9ae9713ae	7	37	22	3	0	0	1	-1	-3.108
935f1e378b532fd476c8c67b8ebec6db3b8e5996	2	52	0	3	0	0	1	-1	-3.108
26603ed4ba62af7462fd8c9e9ab528d21dbf4992	28	205	174	3	0	0	1	-1	-3.108
47319ae718881416de5add41b78c95ab2e8b0181	2	755	0	3	0	0	1	-1	-3.108
b4c9598ae345de4b7573eec16b93ffbec0c7e15a	5	66	21	3	0	0	1	-1	-3.108
5768da22a214d1198472aab9dae0e0148efcbbdb	5	191	9	3	0	0	1	-1	-3.108
f2d1417e4d52b285321a2d75599c79f190665f38	2	85	0	3	0	0	1	-1	-3.108
ed096ea21d91420c275ffc5cb48b0f4f5fdf5cc4	1	86	0	3	0	0	1	-1	-3.108
310afaa9bbe1a79b42074c5cd9c3ae59ce2e51a0	1	79	0	3	0	0	1	-1	-3.108
fdb9869a3a8762aa784b39e72226496cfb086b25	1	71	0	3	0	0	1	-1	-3.108
